"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.document_url","Answer.category.label","Approve","Reject"
"3PGQRAZX03KATN1PXWXR3T6V38MYSO","373MH2DFEY18GX2H62COBKTK3ZOHBQ","Has this Actor Been Divorced Or Not?","Choose the correct category for the person in the document","document, classification","$0.01","Sun Mar 13 13:11:13 PDT 2022","3","BatchId:4690522;OriginalHitTemplateId:928390860;","3600","259200","Sun Mar 20 13:11:13 PDT 2022","","","3GU1KF0O4J1JQ7QGLPKFOXY7Q04PB7","A2572CYRIYT5JQ","Submitted","Sun Mar 13 13:25:52 PDT 2022","Sun Mar 13 13:26:12 PDT 2022","Wed Mar 16 13:26:12 PDT 2022","","","","20","0% (0/0)","0% (0/0)","0% (0/0)","https://en.wikipedia.org/wiki/Denzel_Washington","Person is married, never divorced"
"3PGQRAZX03KATN1PXWXR3T6V38MYSO","373MH2DFEY18GX2H62COBKTK3ZOHBQ","Has this Actor Been Divorced Or Not?","Choose the correct category for the person in the document","document, classification","$0.01","Sun Mar 13 13:11:13 PDT 2022","3","BatchId:4690522;OriginalHitTemplateId:928390860;","3600","259200","Sun Mar 20 13:11:13 PDT 2022","","","3SB5N7Y3O44CT7U7KQX3A7OWY5LG09","A3RR91G2KJO9NI","Submitted","Sun Mar 13 13:28:09 PDT 2022","Sun Mar 13 13:28:17 PDT 2022","Wed Mar 16 13:28:17 PDT 2022","","","","8","0% (0/0)","0% (0/0)","0% (0/0)","https://en.wikipedia.org/wiki/Denzel_Washington","Person has been married, got divorced"
"3MDKGGG61RN9P34YGD7PU7IO6H7T68","373MH2DFEY18GX2H62COBKTK3ZOHBQ","Has this Actor Been Divorced Or Not?","Choose the correct category for the person in the document","document, classification","$0.01","Sun Mar 13 13:11:13 PDT 2022","3","BatchId:4690522;OriginalHitTemplateId:928390860;","3600","259200","Sun Mar 20 13:11:13 PDT 2022","","","39DD6S19JQBBBE46IPK7G3663WOZE2","A1Z99W4B6XOZPV","Submitted","Sun Mar 13 13:26:42 PDT 2022","Sun Mar 13 13:26:53 PDT 2022","Wed Mar 16 13:26:53 PDT 2022","","","","11","0% (0/0)","0% (0/0)","0% (0/0)","https://en.wikipedia.org/wiki/Katharine_Hepburn","Person has been married, got divorced"
"3MDKGGG61RN9P34YGD7PU7IO6H7T68","373MH2DFEY18GX2H62COBKTK3ZOHBQ","Has this Actor Been Divorced Or Not?","Choose the correct category for the person in the document","document, classification","$0.01","Sun Mar 13 13:11:13 PDT 2022","3","BatchId:4690522;OriginalHitTemplateId:928390860;","3600","259200","Sun Mar 20 13:11:13 PDT 2022","","","33L7PJKHCHYYG1LGZU9P25937X58TX","A2482EUQAOL9X8","Submitted","Sun Mar 13 13:28:26 PDT 2022","Sun Mar 13 13:29:02 PDT 2022","Wed Mar 16 13:29:02 PDT 2022","","","","36","0% (0/0)","0% (0/0)","0% (0/0)","https://en.wikipedia.org/wiki/Katharine_Hepburn","Person has been married, got divorced"
"3MDKGGG61RN9P34YGD7PU7IO6H7T68","373MH2DFEY18GX2H62COBKTK3ZOHBQ","Has this Actor Been Divorced Or Not?","Choose the correct category for the person in the document","document, classification","$0.01","Sun Mar 13 13:11:13 PDT 2022","3","BatchId:4690522;OriginalHitTemplateId:928390860;","3600","259200","Sun Mar 20 13:11:13 PDT 2022","","","33NF62TLXK2OXZRCWPSOQ4VL4V8KJN","A34M93NJC830DP","Submitted","Sun Mar 13 13:30:22 PDT 2022","Sun Mar 13 13:30:32 PDT 2022","Wed Mar 16 13:30:32 PDT 2022","","","","10","0% (0/0)","0% (0/0)","0% (0/0)","https://en.wikipedia.org/wiki/Katharine_Hepburn","Person has been married, got divorced"
"3ROUCZ907GUJ1H5UKS7KHXYSS9KOO6","373MH2DFEY18GX2H62COBKTK3ZOHBQ","Has this Actor Been Divorced Or Not?","Choose the correct category for the person in the document","document, classification","$0.01","Sun Mar 13 13:11:13 PDT 2022","3","BatchId:4690522;OriginalHitTemplateId:928390860;","3600","259200","Sun Mar 20 13:11:13 PDT 2022","","","3PEIJLRY6UTGNJQI27QS5OXV20VXWJ","A3050ET2J22FJR","Submitted","Sun Mar 13 13:27:15 PDT 2022","Sun Mar 13 13:27:22 PDT 2022","Wed Mar 16 13:27:22 PDT 2022","","","","7","0% (0/0)","0% (0/0)","0% (0/0)","https://en.wikipedia.org/wiki/Humphrey_Bogart","Person has been married, got divorced"
"3ROUCZ907GUJ1H5UKS7KHXYSS9KOO6","373MH2DFEY18GX2H62COBKTK3ZOHBQ","Has this Actor Been Divorced Or Not?","Choose the correct category for the person in the document","document, classification","$0.01","Sun Mar 13 13:11:13 PDT 2022","3","BatchId:4690522;OriginalHitTemplateId:928390860;","3600","259200","Sun Mar 20 13:11:13 PDT 2022","","","3IFS6Q0HJJJQQ7KEJGGQ5P7V8AVISP","A34M93NJC830DP","Submitted","Sun Mar 13 13:23:33 PDT 2022","Sun Mar 13 13:24:20 PDT 2022","Wed Mar 16 13:24:20 PDT 2022","","","","47","0% (0/0)","0% (0/0)","0% (0/0)","https://en.wikipedia.org/wiki/Humphrey_Bogart","Person has been married, got divorced"
"3ROUCZ907GUJ1H5UKS7KHXYSS9KOO6","373MH2DFEY18GX2H62COBKTK3ZOHBQ","Has this Actor Been Divorced Or Not?","Choose the correct category for the person in the document","document, classification","$0.01","Sun Mar 13 13:11:13 PDT 2022","3","BatchId:4690522;OriginalHitTemplateId:928390860;","3600","259200","Sun Mar 20 13:11:13 PDT 2022","","","3Z7ISHFUH1VU2DUF5MY7OTAKSTQ8ZC","A3GU6GWYREJS0S","Submitted","Sun Mar 13 13:23:52 PDT 2022","Sun Mar 13 13:36:49 PDT 2022","Wed Mar 16 13:36:49 PDT 2022","","","","777","0% (0/0)","0% (0/0)","0% (0/0)","https://en.wikipedia.org/wiki/Humphrey_Bogart","Person has been married, got divorced"
"3DA79LNS5AVASKHGXB9RN464WQ63TD","373MH2DFEY18GX2H62COBKTK3ZOHBQ","Has this Actor Been Divorced Or Not?","Choose the correct category for the person in the document","document, classification","$0.01","Sun Mar 13 13:11:13 PDT 2022","3","BatchId:4690522;OriginalHitTemplateId:928390860;","3600","259200","Sun Mar 20 13:11:13 PDT 2022","","","3XXU1SWE8NVBJGH4YQ5TELDT0A8A0R","A3050ET2J22FJR","Submitted","Sun Mar 13 13:26:36 PDT 2022","Sun Mar 13 13:26:51 PDT 2022","Wed Mar 16 13:26:51 PDT 2022","","","","15","0% (0/0)","0% (0/0)","0% (0/0)","https://en.wikipedia.org/wiki/Meryl_Streep","Person is married, never divorced"
"3DA79LNS5AVASKHGXB9RN464WQ63TD","373MH2DFEY18GX2H62COBKTK3ZOHBQ","Has this Actor Been Divorced Or Not?","Choose the correct category for the person in the document","document, classification","$0.01","Sun Mar 13 13:11:13 PDT 2022","3","BatchId:4690522;OriginalHitTemplateId:928390860;","3600","259200","Sun Mar 20 13:11:13 PDT 2022","","","3I33IC7ZWG2IFQKIDD97X968X8TA2C","A34DYM8J0X5VK","Submitted","Sun Mar 13 13:32:09 PDT 2022","Sun Mar 13 13:32:25 PDT 2022","Wed Mar 16 13:32:25 PDT 2022","","","","16","0% (0/0)","0% (0/0)","0% (0/0)","https://en.wikipedia.org/wiki/Meryl_Streep","Person is married, never divorced"
"3DA79LNS5AVASKHGXB9RN464WQ63TD","373MH2DFEY18GX2H62COBKTK3ZOHBQ","Has this Actor Been Divorced Or Not?","Choose the correct category for the person in the document","document, classification","$0.01","Sun Mar 13 13:11:13 PDT 2022","3","BatchId:4690522;OriginalHitTemplateId:928390860;","3600","259200","Sun Mar 20 13:11:13 PDT 2022","","","3T3IWE1XG7N4M5LCLOQPOWU313SQTR","A769WXAR6I8QU","Submitted","Sun Mar 13 13:34:48 PDT 2022","Sun Mar 13 13:34:54 PDT 2022","Wed Mar 16 13:34:54 PDT 2022","","","","6","0% (0/0)","0% (0/0)","0% (0/0)","https://en.wikipedia.org/wiki/Meryl_Streep","Person is married, never divorced"
"3HA5ODM5KBSTPT6KSLA7WU21LRKVSC","373MH2DFEY18GX2H62COBKTK3ZOHBQ","Has this Actor Been Divorced Or Not?","Choose the correct category for the person in the document","document, classification","$0.01","Sun Mar 13 13:11:13 PDT 2022","3","BatchId:4690522;OriginalHitTemplateId:928390860;","3600","259200","Sun Mar 20 13:11:13 PDT 2022","","","3EFVCAY5L4942YPBN0VL0ZMU9VF8JT","A13PVNQT2WWWVL","Submitted","Sun Mar 13 13:32:23 PDT 2022","Sun Mar 13 13:32:50 PDT 2022","Wed Mar 16 13:32:50 PDT 2022","","","","27","0% (0/0)","0% (0/0)","0% (0/0)","https://en.wikipedia.org/wiki/Daniel_Day-Lewis","Person is married, never divorced"
"3HA5ODM5KBSTPT6KSLA7WU21LRKVSC","373MH2DFEY18GX2H62COBKTK3ZOHBQ","Has this Actor Been Divorced Or Not?","Choose the correct category for the person in the document","document, classification","$0.01","Sun Mar 13 13:11:13 PDT 2022","3","BatchId:4690522;OriginalHitTemplateId:928390860;","3600","259200","Sun Mar 20 13:11:13 PDT 2022","","","3MB8LZR5BGTUSPFCZA416J8D8KBKLN","A2G9X9TG2XIUDO","Submitted","Sun Mar 13 13:15:50 PDT 2022","Sun Mar 13 13:15:55 PDT 2022","Wed Mar 16 13:15:55 PDT 2022","","","","5","0% (0/0)","0% (0/0)","0% (0/0)","https://en.wikipedia.org/wiki/Daniel_Day-Lewis","Person has been married, got divorced"
"3HA5ODM5KBSTPT6KSLA7WU21LRKVSC","373MH2DFEY18GX2H62COBKTK3ZOHBQ","Has this Actor Been Divorced Or Not?","Choose the correct category for the person in the document","document, classification","$0.01","Sun Mar 13 13:11:13 PDT 2022","3","BatchId:4690522;OriginalHitTemplateId:928390860;","3600","259200","Sun Mar 20 13:11:13 PDT 2022","","","3H0W84IWBL229NIF88QUU047UF4ERN","A3RR91G2KJO9NI","Submitted","Sun Mar 13 13:18:40 PDT 2022","Sun Mar 13 13:18:49 PDT 2022","Wed Mar 16 13:18:49 PDT 2022","","","","9","0% (0/0)","0% (0/0)","0% (0/0)","https://en.wikipedia.org/wiki/Daniel_Day-Lewis","Person is married, never divorced"
"38LRF35D5MWPSXW5XGZ1S0S6F4D3U4","373MH2DFEY18GX2H62COBKTK3ZOHBQ","Has this Actor Been Divorced Or Not?","Choose the correct category for the person in the document","document, classification","$0.01","Sun Mar 13 13:11:13 PDT 2022","3","BatchId:4690522;OriginalHitTemplateId:928390860;","3600","259200","Sun Mar 20 13:11:13 PDT 2022","","","3BF51CHDTWAQT3PI4WFLV70XD5W0HQ","A2G9X9TG2XIUDO","Submitted","Sun Mar 13 13:16:30 PDT 2022","Sun Mar 13 13:16:36 PDT 2022","Wed Mar 16 13:16:36 PDT 2022","","","","6","0% (0/0)","0% (0/0)","0% (0/0)","https://en.wikipedia.org/wiki/Sidney_Poitier","Person is married, never divorced"
"38LRF35D5MWPSXW5XGZ1S0S6F4D3U4","373MH2DFEY18GX2H62COBKTK3ZOHBQ","Has this Actor Been Divorced Or Not?","Choose the correct category for the person in the document","document, classification","$0.01","Sun Mar 13 13:11:13 PDT 2022","3","BatchId:4690522;OriginalHitTemplateId:928390860;","3600","259200","Sun Mar 20 13:11:13 PDT 2022","","","338JKRMM27ZMUGN0WYCEKDCAMR8HAY","A2QDRFATUCQ8AZ","Submitted","Sun Mar 13 13:19:07 PDT 2022","Sun Mar 13 13:25:23 PDT 2022","Wed Mar 16 13:25:23 PDT 2022","","","","376","0% (0/0)","0% (0/0)","0% (0/0)","https://en.wikipedia.org/wiki/Sidney_Poitier","Person has been married, got divorced"
"38LRF35D5MWPSXW5XGZ1S0S6F4D3U4","373MH2DFEY18GX2H62COBKTK3ZOHBQ","Has this Actor Been Divorced Or Not?","Choose the correct category for the person in the document","document, classification","$0.01","Sun Mar 13 13:11:13 PDT 2022","3","BatchId:4690522;OriginalHitTemplateId:928390860;","3600","259200","Sun Mar 20 13:11:13 PDT 2022","","","3QBD8R3Z22JHK8T6RAXDRJNB63TO4L","A2XGBFVDT0WQBY","Submitted","Sun Mar 13 13:34:38 PDT 2022","Sun Mar 13 13:34:47 PDT 2022","Wed Mar 16 13:34:47 PDT 2022","","","","9","0% (0/0)","0% (0/0)","0% (0/0)","https://en.wikipedia.org/wiki/Sidney_Poitier","Person has been married, got divorced"
"38G0E1M85N5946YOHQ57BVKP6O5VUS","373MH2DFEY18GX2H62COBKTK3ZOHBQ","Has this Actor Been Divorced Or Not?","Choose the correct category for the person in the document","document, classification","$0.01","Sun Mar 13 13:11:14 PDT 2022","3","BatchId:4690522;OriginalHitTemplateId:928390860;","3600","259200","Sun Mar 20 13:11:14 PDT 2022","","","3NGI5ARFTU5ID98OJSRQILLY4OD1P0","A1TPFYIAYP3HWL","Submitted","Sun Mar 13 13:19:34 PDT 2022","Sun Mar 13 13:19:48 PDT 2022","Wed Mar 16 13:19:48 PDT 2022","","","","14","0% (0/0)","0% (0/0)","0% (0/0)","https://en.wikipedia.org/wiki/Clark_Gable","Person has been married, got divorced"
"38G0E1M85N5946YOHQ57BVKP6O5VUS","373MH2DFEY18GX2H62COBKTK3ZOHBQ","Has this Actor Been Divorced Or Not?","Choose the correct category for the person in the document","document, classification","$0.01","Sun Mar 13 13:11:14 PDT 2022","3","BatchId:4690522;OriginalHitTemplateId:928390860;","3600","259200","Sun Mar 20 13:11:14 PDT 2022","","","36AHBNMV1SC6EIG1Q874WEFJXQHYDF","A5VV2BPMPA2KO","Submitted","Sun Mar 13 13:12:46 PDT 2022","Sun Mar 13 13:13:31 PDT 2022","Wed Mar 16 13:13:31 PDT 2022","","","","45","0% (0/0)","0% (0/0)","0% (0/0)","https://en.wikipedia.org/wiki/Clark_Gable","Person has been married, got divorced"
"38G0E1M85N5946YOHQ57BVKP6O5VUS","373MH2DFEY18GX2H62COBKTK3ZOHBQ","Has this Actor Been Divorced Or Not?","Choose the correct category for the person in the document","document, classification","$0.01","Sun Mar 13 13:11:14 PDT 2022","3","BatchId:4690522;OriginalHitTemplateId:928390860;","3600","259200","Sun Mar 20 13:11:14 PDT 2022","","","3VZLGYJEYMAKHEVNDUAZ4SRDJ2XZX9","ARY75FDL041W1","Submitted","Sun Mar 13 13:15:39 PDT 2022","Sun Mar 13 13:22:17 PDT 2022","Wed Mar 16 13:22:17 PDT 2022","","","","398","0% (0/0)","0% (0/0)","0% (0/0)","https://en.wikipedia.org/wiki/Clark_Gable","Person has been married, got divorced"
"3R15W654VETEG8FDMDJWELPYC5XQLZ","373MH2DFEY18GX2H62COBKTK3ZOHBQ","Has this Actor Been Divorced Or Not?","Choose the correct category for the person in the document","document, classification","$0.01","Sun Mar 13 13:11:14 PDT 2022","3","BatchId:4690522;OriginalHitTemplateId:928390860;","3600","259200","Sun Mar 20 13:11:14 PDT 2022","","","382M9COHEIFUPFAWC2LZZBRR1E7UE6","A1GC6CN3F0IHWN","Submitted","Sun Mar 13 13:13:54 PDT 2022","Sun Mar 13 13:14:02 PDT 2022","Wed Mar 16 13:14:02 PDT 2022","","","","8","0% (0/0)","0% (0/0)","0% (0/0)","https://en.wikipedia.org/wiki/Ingrid_Bergman","Person has been married, got divorced"
"3R15W654VETEG8FDMDJWELPYC5XQLZ","373MH2DFEY18GX2H62COBKTK3ZOHBQ","Has this Actor Been Divorced Or Not?","Choose the correct category for the person in the document","document, classification","$0.01","Sun Mar 13 13:11:14 PDT 2022","3","BatchId:4690522;OriginalHitTemplateId:928390860;","3600","259200","Sun Mar 20 13:11:14 PDT 2022","","","3VAR3R6G1Q1I39G83DNQ8V3G8PM8O9","A2ZE2IPHK152KA","Submitted","Sun Mar 13 13:16:55 PDT 2022","Sun Mar 13 13:17:12 PDT 2022","Wed Mar 16 13:17:12 PDT 2022","","","","17","0% (0/0)","0% (0/0)","0% (0/0)","https://en.wikipedia.org/wiki/Ingrid_Bergman","Person has been married, got divorced"
"3R15W654VETEG8FDMDJWELPYC5XQLZ","373MH2DFEY18GX2H62COBKTK3ZOHBQ","Has this Actor Been Divorced Or Not?","Choose the correct category for the person in the document","document, classification","$0.01","Sun Mar 13 13:11:14 PDT 2022","3","BatchId:4690522;OriginalHitTemplateId:928390860;","3600","259200","Sun Mar 20 13:11:14 PDT 2022","","","3EKVH9QMEZ4GDXNUXN09NAEEIBVD2M","AZPZDX26SYMFY","Submitted","Sun Mar 13 14:13:10 PDT 2022","Sun Mar 13 14:15:34 PDT 2022","Wed Mar 16 14:15:34 PDT 2022","","","","144","0% (0/0)","0% (0/0)","0% (0/0)","https://en.wikipedia.org/wiki/Ingrid_Bergman","Person has been married, got divorced"
"3UUIU9GZC65D6Z4KBUXK214OAMWT5S","373MH2DFEY18GX2H62COBKTK3ZOHBQ","Has this Actor Been Divorced Or Not?","Choose the correct category for the person in the document","document, classification","$0.01","Sun Mar 13 13:11:13 PDT 2022","3","BatchId:4690522;OriginalHitTemplateId:928390860;","3600","259200","Sun Mar 20 13:11:13 PDT 2022","","","3D8YOU6S9FKQC0HH6K21NNZEKGN6U1","A2572CYRIYT5JQ","Submitted","Sun Mar 13 13:33:37 PDT 2022","Sun Mar 13 13:33:51 PDT 2022","Wed Mar 16 13:33:51 PDT 2022","","","","14","0% (0/0)","0% (0/0)","0% (0/0)","https://en.wikipedia.org/wiki/Jean_Reno","Person has been married, got divorced"
"3UUIU9GZC65D6Z4KBUXK214OAMWT5S","373MH2DFEY18GX2H62COBKTK3ZOHBQ","Has this Actor Been Divorced Or Not?","Choose the correct category for the person in the document","document, classification","$0.01","Sun Mar 13 13:11:13 PDT 2022","3","BatchId:4690522;OriginalHitTemplateId:928390860;","3600","259200","Sun Mar 20 13:11:13 PDT 2022","","","35DR22AR5EKJWLOUSNFQ0RMY4703XI","A2NA6Z3GI5DJMR","Submitted","Sun Mar 13 13:19:54 PDT 2022","Sun Mar 13 13:20:03 PDT 2022","Wed Mar 16 13:20:03 PDT 2022","","","","9","0% (0/0)","0% (0/0)","0% (0/0)","https://en.wikipedia.org/wiki/Jean_Reno","Person has been married, got divorced"
"3UUIU9GZC65D6Z4KBUXK214OAMWT5S","373MH2DFEY18GX2H62COBKTK3ZOHBQ","Has this Actor Been Divorced Or Not?","Choose the correct category for the person in the document","document, classification","$0.01","Sun Mar 13 13:11:13 PDT 2022","3","BatchId:4690522;OriginalHitTemplateId:928390860;","3600","259200","Sun Mar 20 13:11:13 PDT 2022","","","32UTUBMZ7HWWVRNC71TEUPNPCO6BVF","A3C7MX0LWNX3DK","Submitted","Sun Mar 13 13:28:45 PDT 2022","Sun Mar 13 13:29:04 PDT 2022","Wed Mar 16 13:29:04 PDT 2022","","","","19","0% (0/0)","0% (0/0)","0% (0/0)","https://en.wikipedia.org/wiki/Jean_Reno","Person has been married, got divorced"
"3EPG8DX9LLQFE7BDUDO0XR3RLJC5P0","373MH2DFEY18GX2H62COBKTK3ZOHBQ","Has this Actor Been Divorced Or Not?","Choose the correct category for the person in the document","document, classification","$0.01","Sun Mar 13 13:11:14 PDT 2022","3","BatchId:4690522;OriginalHitTemplateId:928390860;","3600","259200","Sun Mar 20 13:11:14 PDT 2022","","","3R0T90IZ1TCWNZPNW6QN58QX7UHGC1","A2ZE2IPHK152KA","Submitted","Sun Mar 13 13:24:10 PDT 2022","Sun Mar 13 13:24:29 PDT 2022","Wed Mar 16 13:24:29 PDT 2022","","","","19","0% (0/0)","0% (0/0)","0% (0/0)","https://en.wikipedia.org/wiki/Tom_Hanks","Person has been married, got divorced"
